calendar.date,census,replicate,microsite,sampling.method,pan.colour,order,family,total.abundance
24/04/2013,1,1,Open,Pan,Blue,Coleoptera,Meloidae,18
24/04/2013,1,1,Open,Pan,Blue,Diptera,Tachinidae,2
24/04/2013,1,1,Open,Pan,Blue,Hymenoptera,Crabronidae,1
24/04/2013,1,1,Open,Pan,Blue,Hymenoptera,Halictidae,2
24/04/2013,1,1,Shrub,Pan,Blue,Coleoptera,Meloidae,6
24/04/2013,1,1,Shrub,Pan,Blue,Coleoptera,Tenebrionidae,1
24/04/2013,1,1,Shrub,Pan,Blue,Diptera,Tachinidae,5
24/04/2013,1,1,Shrub,Pan,Blue,Hymenoptera,Crabronidae,1
24/04/2013,1,1,Shrub,Pan,Blue,Hymenoptera,Megachilidae,3
24/04/2013,1,2,Open,Pan,Yellow,Coleoptera,Meloidae,1
24/04/2013,1,2,Open,Pan,Yellow,Diptera,Anthomyiidae,1
24/04/2013,1,2,Open,Pan,Yellow,Diptera,Muscidae,3
24/04/2013,1,2,Open,Pan,Yellow,Hemiptera,Geocoridae,4
24/04/2013,1,2,Open,Pan,Yellow,Hymenoptera,Chrysididae,1
24/04/2013,1,2,Open,Pan,Yellow,Hymenoptera,Crabronidae,1
24/04/2013,1,2,Open,Pan,Yellow,Hymenoptera,Halictidae,2
24/04/2013,1,2,Shrub,Pan,Yellow,Coleoptera,melyridae,1
24/04/2013,1,2,Shrub,Pan,Yellow,Diptera,Sarcophagidae,1
24/04/2013,1,2,Shrub,Pan,Yellow,Diptera,Tachinidae,1
24/04/2013,1,2,Shrub,Pan,Yellow,Hymenoptera,Chrysididae,1
24/04/2013,1,2,Shrub,Pan,Yellow,Hymenoptera,Crabronidae,4
24/04/2013,1,2,Shrub,Pan,Yellow,Hymenoptera,Formicidae,5
24/04/2013,1,3,Open,Pan,White,Hemiptera,Geocoridae,1
24/04/2013,1,3,Open,Pan,White,Hymenoptera,Andrenidae,1
24/04/2013,1,3,Open,Pan,White,Hymenoptera,Crabronidae,2
24/04/2013,1,3,Open,Pan,White,Hymenoptera,Formicidae,1
24/04/2013,1,3,Shrub,Pan,White,Coleoptera,Meloidae,3
24/04/2013,1,3,Shrub,Pan,White,Diptera,Tachinidae,1
24/04/2013,1,3,Shrub,Pan,White,Hemiptera,Cicadellidae,1
24/04/2013,1,3,Shrub,Pan,White,Hymenoptera,Crabronidae,1
24/04/2013,1,3,Shrub,Pan,White,Hymenoptera,mutillidae,1
24/04/2013,1,4,Open,Pan,Blue,Hymenoptera,Formicidae,2
24/04/2013,1,4,Shrub,Pan,Blue,Coleoptera,Meloidae,2
24/04/2013,1,4,Shrub,Pan,Blue,Diptera,Muscidae,1
24/04/2013,1,4,Shrub,Pan,Blue,Diptera,Sarcophagidae,1
24/04/2013,1,4,Shrub,Pan,Blue,Diptera,Tachinidae,2
24/04/2013,1,4,Shrub,Pan,Blue,Hymenoptera,Formicidae,5
24/04/2013,1,4,Shrub,Pan,Blue,Hymenoptera,Pompilidae,1
24/04/2013,1,5,Open,Pan,Yellow,Diptera,Tachinidae,2
24/04/2013,1,5,Open,Pan,Yellow,Hemiptera,Cicadellidae,1
24/04/2013,1,5,Open,Pan,Yellow,Hymenoptera,Formicidae,5
24/04/2013,1,5,Open,Pan,Yellow,Hymenoptera,Sphecidae,1
24/04/2013,1,5,Shrub,Pan,Yellow,Hemiptera,Cicadellidae,3
24/04/2013,1,5,Shrub,Pan,Yellow,Hymenoptera,Chrysididae,1
24/04/2013,1,5,Shrub,Pan,Yellow,Hymenoptera,Crabronidae,1
24/04/2013,1,5,Shrub,Pan,Yellow,Hymenoptera,Formicidae,1
24/04/2013,1,5,Shrub,Pan,Yellow,Hymenoptera,Halictidae,2
24/04/2013,1,5,Shrub,Pan,Yellow,Hymenoptera,Pompilidae,2
24/04/2013,1,5,Shrub,Pan,Yellow,Hymenoptera,Sphecidae,1
24/04/2013,1,6,Open,Pan,White,Diptera,Bombyliidae,1
24/04/2013,1,6,Open,Pan,White,Diptera,Sarcophagidae,3
24/04/2013,1,6,Open,Pan,White,Diptera,Tachinidae,6
24/04/2013,1,6,Open,Pan,White,Hymenoptera,Crabronidae,1
24/04/2013,1,6,Open,Pan,White,Hymenoptera,Formicidae,3
24/04/2013,1,6,Open,Pan,White,Hymenoptera,Halictidae,1
24/04/2013,1,6,Shrub,Pan,White,Diptera,Muscidae,1
24/04/2013,1,6,Shrub,Pan,White,Diptera,Tachinidae,1
24/04/2013,1,6,Shrub,Pan,White,Hymenoptera,Sphecidae,1
24/04/2013,1,6,Shrub,Pan,White,Lepidoptera,Geometridae,1
24/04/2013,1,7,Open,Pan,Blue,Diptera,Tachinidae,1
24/04/2013,1,7,Open,Pan,Blue,Hymenoptera,Crabronidae,2
24/04/2013,1,7,Open,Pan,Blue,Hymenoptera,Formicidae,6
24/04/2013,1,7,Open,Pan,Blue,Hymenoptera,Megachilidae,2
24/04/2013,1,7,Open,Pan,Blue,Hymenoptera,Sphecidae,1
24/04/2013,1,7,Shrub,Pan,Blue,Diptera,Muscidae,1
24/04/2013,1,7,Shrub,Pan,Blue,Diptera,Tachinidae,2
