rep,microsite,shrub.species,x.shrub,y.shrub,z.shrub,shrub.volume,cover,richness
1,shrub,C. fremontii,2.6,2,1.7,8.84,15,20
1,shrub,R. neomexicana,2.6,2,1.7,,1,1
1,shrub,E. wallacei,2.6,2,1.7,,1,1
1,open,E. wallacei,2.6,2,1.7,,5,3
1,open,L. schotti,2.6,2,1.7,,2,1
2,shrub,C. fremontii ,2.2,2.1,2,9.24,15,25
2,shrub,M. glabrata,2.2,2.1,2,,1,1
2,shrub,R. neomexicana,2.2,2.1,2,,2,2
2,open,L. schotti,2.2,2.1,2,,5,5
3,shrub,C. fremontii,1,0.8,0.9,0.72,5,2
3,shrub,E. wallacei,1,0.8,0.9,,1,1
3,open,C. fremontii,1,0.8,0.9,,1,1
3,open,M. glabrata,1,0.8,0.9,,2,1
3,open,L. schotti,1,0.8,0.9,,2,1
4,shrub,M. glabrata,1.5,1,0.9,1.35,10,2
4,shrub,C. fremontii,1.5,1,0.9,,2,1
4,open,L. schotti,1.5,1,0.9,,5,8
5,shrub,C. fremontii,2.1,2.4,1.7,8.568,5,1
5,open,L. schotti,2.1,2.4,1.7,,5,5
5,open,O. Hymenoides,2.1,2.4,1.7,,1,1
6,shrub,C. fremontii,2.7,2.5,1.9,12.825,10,3
6,open,L. schotti,2.7,2.5,1.9,,3,2
7,shrub,L. schotti,1.6,1.5,1.7,4.08,2,2
7,open,L. schotti,1.6,1.5,1.7,,5,5
7,open,C. campestris,1.6,1.5,1.7,,2,1
8,shrub,C. fremontii,3.1,3.2,1.8,17.856,30,24
8,shrub,M. glabrata,3.1,3.2,1.8,,5,2
8,open,A. Dumosa,3.1,3.2,1.8,,15,1
8,open,C. fremontii,3.1,3.2,1.8,,5,2
8,open,L. schotti,3.1,3.2,1.8,,2,3
9,shrub,C. fremontii,3.4,2.9,2.3,22.678,30,21
9,shrub,R. neomexicana,3.4,2.9,2.3,,2,1
9,shrub,M. glabrata,3.4,2.9,2.3,,3,2
9,open,L. schotti,3.4,2.9,2.3,,2,3
10,shrub,C. fremontii,3.4,3.3,2.2,24.684,25,24
10,shrub,R. neomexicana,3.4,3.3,2.2,,2,1
10,open,C. fremontii,3.4,3.3,2.2,,5,5
10,open,L. schotti,3.4,3.3,2.2,,5,3
10,open,R. neomexicana,3.4,3.3,2.2,,8,4
11,shrub,M. glabrata,1.4,1.5,1.3,2.73,2,1
11,shrub,C. fremontii,1.4,1.5,1.3,,30,9
11,shrub,R. neomexicana,1.4,1.5,1.3,,10,6
11,open,C. fremontii,1.4,1.5,1.3,,5,4
11,open,R. neomexicana,1.4,1.5,1.3,,5,2
11,open,L. schotti,1.4,1.5,1.3,,5,7
12,shrub,C. fremontii,2.4,2.4,1.5,8.64,10,6
12,open,L. schotti,2.4,2.4,1.5,,2,2
12,open,C. fremontii,2.4,2.4,1.5,,2,1
12,open,M. glabrata,2.4,2.4,1.5,,2,1
13,shrub,C. fremontii,2.3,1.9,2,8.74,15,10
13,open,R. neomexicana,2.3,1.9,2,,2,1
13,open,C. fremontii,2.3,1.9,2,,2,2
14,shrub,C. fremontii,2.5,1.5,1.6,6,15,7
14,open,C. fremontii,2.5,1.5,1.6,,5,2
15,shrub,C. fremontii,1.4,1.4,1.6,3.136,25,33
15,open,C. fremontii,1.4,1.4,1.6,,7,4
15,open,M. glabrata,1.4,1.4,1.6,,3,1
