census,Rep,Micro,Pan,Abundance,Richness,Simpsons
1,1,Open,Blue,23,4,0.370510397
1,1,Shrub,Blue,16,5,0.71875
1,2,Open,Yellow,13,7,0.804733728
1,2,Shrub,Yellow,13,6,0.733727811
1,3,Open,White,5,4,0.72
1,3,Shrub,White,7,5,0.734693878
1,4,Open,Blue,2,1,0
1,4,Shrub,Blue,12,6,0.75
1,5,Open,Yellow,9,4,0.617283951
1,5,Shrub,Yellow,11,7,0.826446281
1,6,Open,White,15,6,0.746666667
1,6,Shrub,White,4,4,0.75
1,7,Open,Blue,12,5,0.680555556
1,7,Shrub,Blue,15,7,0.675555556
1,8,Open,Yellow,5,3,0.56
1,8,Shrub,Yellow,157,6,0.086737799
1,9,Open,White,5,4,0.72
1,9,Shrub,White,12,6,0.75
1,10,Open,Blue,4,3,0.625
1,10,Shrub,Blue,7,5,0.775510204
1,11,Open,Yellow,5,3,0.64
1,11,Shrub,Yellow,7,4,0.612244898
1,12,Open,White,7,6,0.816326531
1,12,Shrub,White,13,5,0.74556213
1,13,Open,Blue,7,4,0.612244898
1,13,Shrub,Blue,12,7,0.833333333
1,14,Open,Yellow,10,5,0.72
1,14,Shrub,Yellow,8,5,0.78125
1,15,Open,White,12,6,0.694444444
1,15,Shrub,White,24,9,0.819444444
1,16,Open,Blue,11,7,0.826446281
1,16,Shrub,Blue,4,2,0.5
1,17,Open,Yellow,12,4,0.416666667
1,17,Shrub,Yellow,8,8,0.875
1,18,Open,White,12,6,0.75
1,18,Shrub,White,17,7,0.76816609
1,19,Open,Blue,13,7,0.804733728
1,19,Shrub,Blue,7,5,0.775510204
1,20,Open,Yellow,8,6,0.8125
1,20,Shrub,Yellow,9,6,0.740740741
1,21,Open,White,13,7,0.828402367
1,21,Shrub,White,12,4,0.638888889
1,22,Open,Blue,12,6,0.736111111
1,22,Shrub,Blue,10,5,0.76
1,23,Open,Yellow,12,9,0.875
1,23,Shrub,Yellow,0,0,0
1,24,Open,White,7,7,0.857142857
1,24,Shrub,White,10,6,0.8
1,25,Open,Blue,12,8,0.819444444
1,25,Shrub,Blue,7,6,0.816326531
1,26,Open,Yellow,0,0,0.666666667
1,26,Shrub,Yellow,3,3,0
1,27,Open,White,8,6,0.78125
1,27,Shrub,White,6,3,0.611111111
1,28,Open,Blue,6,5,0.777777778
1,28,Shrub,Blue,9,6,0.740740741
1,29,Open,Blue,6,4,0.722222222
1,29,Shrub,Blue,5,3,0.56
1,30,Open,White,8,6,0.78125
1,30,Shrub,White,10,5,0.68
2,1,Open,White,17,5,0.650519031
2,1,Shrub,White,28,9,0.757653061
2,2,Open,Yellow,5,1,0
2,2,Shrub,Yellow,9,5,0.765432099
2,3,Open,Blue,9,6,0.814814815
2,3,Shrub,Blue,17,6,0.712802768
2,4,Open,White,2,2,0.5
2,4,Shrub,White,12,8,0.819444444
2,5,Open,Yellow,4,3,0.625
2,5,Shrub,Yellow,4,3,0.625
2,6,Open,Blue,18,5,0.518518519
2,6,Shrub,Blue,7,5,0.775510204
2,7,Open,White,12,7,0.763888889
2,7,Shrub,White,6,3,0.611111111
2,8,Open,Yellow,4,4,0.75
2,8,Shrub,Yellow,3,3,0.666666667
2,9,Open,Blue,7,5,0.775510204
2,9,Shrub,Blue,4,4,0.75
2,10,Open,White,3,3,0.666666667
2,10,Shrub,White,10,6,0.76
2,11,Open,Yellow,4,3,0.625
2,11,Shrub,Yellow,6,4,0.666666667
2,12,Open,Blue,6,4,0.666666667
2,12,Shrub,Blue,7,4,0.612244898
2,13,Open,White,2,2,0.5
2,13,Shrub,White,13,7,0.804733728
2,14,Open,Yellow,3,3,0.666666667
2,14,Shrub,Yellow,8,6,0.8125
2,15,Open,Blue,2,1,0
2,15,Shrub,Blue,6,2,0.444444444
2,16,Open,White,7,5,0.775510204
2,16,Shrub,White,5,3,0.64
2,17,Open,Yellow,4,4,0.75
2,17,Shrub,Yellow,4,3,0.625
2,18,Open,Blue,3,3,0.666666667
2,18,Shrub,Blue,4,3,0.625
2,19,Open,White,7,4,0.612244898
2,19,Shrub,White,4,2,0.5
2,20,Open,Yellow,9,5,0.765432099
2,20,Shrub,Yellow,5,2,0.32
2,21,Open,Blue,0,0,0.777777778
2,21,Shrub,Blue,6,5,0
2,22,Open,White,7,2,0.408163265
2,22,Shrub,White,11,6,0.727272727
2,23,Open,Yellow,9,5,0.740740741
2,23,Shrub,Yellow,5,4,0.72
2,24,Open,Blue,12,7,0.708333333
2,24,Shrub,Blue,6,5,0.777777778
2,25,Open,White,9,8,0.864197531
2,25,Shrub,White,41,8,0.45092207
2,26,Open,Yellow,6,4,0.666666667
2,26,Shrub,Yellow,5,4,0.72
2,27,Open,Blue,13,8,0.840236686
2,27,Shrub,Blue,7,5,0.775510204
2,28,Open,White,9,6,0.790123457
2,28,Shrub,White,11,7,0.809917355
2,29,Open,Yellow,10,3,0.46
2,29,Shrub,Yellow,18,5,0.567901235
2,30,Open,Blue,20,5,0.54
2,30,Shrub,Blue,11,6,0.809917355
3,1,Open,Blue,19,7,0.692520776
3,1,Shrub,Blue,28,4,0.456632653
3,2,Open,Yellow,12,6,0.791666667
3,2,Shrub,Yellow,9,8,0.864197531
3,3,Open,White,12,7,0.791666667
3,3,Shrub,White,11,8,0.842975207
3,4,Open,Blue,7,5,0.775510204
3,4,Shrub,Blue,27,7,0.716049383
3,5,Open,Yellow,4,2,0.5
