year,month,day,hour,experimental.day,microsite,rep,temp,RH
2013,4,27,9,1,shrub,1,30.268,22.659
2013,4,27,10,1,shrub,1,36.579,19.43
2013,4,27,11,1,shrub,1,40.142,15.762
2013,4,27,12,1,shrub,1,47.908,12.874
2013,4,27,13,1,shrub,1,46.866,11.307
2013,4,27,14,1,shrub,1,44.196,10.08
2013,4,27,15,1,shrub,1,42.564,10.1
2013,4,27,16,1,shrub,1,39.488,10.303
2013,4,27,17,1,shrub,1,36.661,10.512
2013,4,27,18,1,shrub,1,33.626,11.256
2013,4,27,19,1,shrub,1,29.74,12.684
2013,4,27,20,1,shrub,1,24.05,15.578
2013,4,27,21,1,shrub,1,21.079,17.142
2013,4,27,22,1,shrub,1,20.269,17.838
2013,4,27,23,1,shrub,1,19.746,18.104
2013,4,28,0,2,shrub,1,18.39,19.274
2013,4,28,1,2,shrub,1,16.606,20.983
2013,4,28,2,2,shrub,1,16.129,21.35
2013,4,28,3,2,shrub,1,16.225,23.115
2013,4,28,4,2,shrub,1,15.7,24.717
2013,4,28,5,2,shrub,1,15.652,28.441
2013,4,28,6,2,shrub,1,15.605,31.621
2013,4,28,7,2,shrub,1,18.081,30.312
2013,4,28,8,2,shrub,1,25.477,21.908
2013,4,28,9,2,shrub,1,31.637,18.62
2013,4,28,10,2,shrub,1,37.921,16.351
2013,4,28,11,2,shrub,1,41.152,14.165
2013,4,28,12,2,shrub,1,49.683,11.741
2013,4,28,13,2,shrub,1,48.304,11.686
2013,4,28,14,2,shrub,1,45.782,11.344
2013,4,28,15,2,shrub,1,43.707,10.503
2013,4,28,16,2,shrub,1,41.21,10.687
2013,4,28,17,2,shrub,1,38.7,11.065
2013,4,28,18,2,shrub,1,35.502,12.037
2013,4,28,19,2,shrub,1,31.612,14.155
2013,4,28,20,2,shrub,1,25.574,17.084
2013,4,28,21,2,shrub,1,23.761,18.069
2013,4,28,22,2,shrub,1,22.393,19.288
2013,4,28,23,2,shrub,1,20.674,21.02
2013,4,29,0,3,shrub,1,20.889,22.996
2013,4,29,1,3,shrub,1,20.198,26.288
2013,4,29,2,3,shrub,1,19.318,30.555
2013,4,29,3,3,shrub,1,18.58,32.537
2013,4,29,4,3,shrub,1,17.368,34.721
2013,4,29,5,3,shrub,1,16.534,35.117
2013,4,29,6,3,shrub,1,14.888,36.707
2013,4,29,7,3,shrub,1,19.222,30.895
2013,4,29,8,3,shrub,1,26.329,22.772
2013,4,29,9,3,shrub,1,32.433,18.361
2013,4,29,10,3,shrub,1,39.177,14.935
2013,4,29,11,3,shrub,1,42.356,12.956
2013,4,29,12,3,shrub,1,50.266,10.873
2013,4,29,13,3,shrub,1,49.513,10.601
2013,4,29,14,3,shrub,1,47.092,10.349
2013,4,29,15,3,shrub,1,44.936,10.59
2013,4,29,16,3,shrub,1,42.356,10.811
2013,4,29,17,3,shrub,1,39.743,11.067
2013,4,29,18,3,shrub,1,36.606,11.69
2013,4,29,19,3,shrub,1,32.794,12.701
2013,4,29,20,3,shrub,1,27.974,15.167
2013,4,29,21,3,shrub,1,24.75,16.815
2013,4,29,22,3,shrub,1,24.847,19.432
2013,4,29,23,3,shrub,1,23.785,20.846
2013,4,30,0,4,shrub,1,21.676,23.085
2013,4,30,1,4,shrub,1,20.222,24.968
2013,4,30,2,4,shrub,1,19.294,26.115
2013,4,30,3,4,shrub,1,18.533,27.686
2013,4,30,4,4,shrub,1,17.891,29.11
2013,4,30,5,4,shrub,1,16.773,31.654
2013,4,30,6,4,shrub,1,16.725,33.366
2013,4,30,7,4,shrub,1,19.936,31.06
2013,4,30,8,4,shrub,1,27.924,23.134
2013,4,30,9,4,shrub,1,32.872,20.051
2013,4,30,10,4,shrub,1,38.532,16.071
2013,4,30,11,4,shrub,1,40.891,14.31
2013,4,30,12,4,shrub,1,47.711,12.305
2013,4,30,13,4,shrub,1,46.609,12.259
2013,4,30,14,4,shrub,1,43.738,13.095
2013,4,30,15,4,shrub,1,42.654,12.89
2013,4,30,16,4,shrub,1,40.602,13.039
2013,4,30,17,4,shrub,1,38.032,13.906
2013,4,30,18,4,shrub,1,34.863,15.349
2013,4,30,19,4,shrub,1,31.996,17.35
2013,4,30,20,4,shrub,1,29.04,20.498
2013,4,30,21,4,shrub,1,26.818,25.8
2013,4,30,22,4,shrub,1,25.186,31.612
2013,4,30,23,4,shrub,1,23.424,36.185
2013,5,1,0,5,shrub,1,21.461,39.185
2013,5,1,1,5,shrub,1,19.46,42.893
2013,5,1,2,5,shrub,1,18.628,43.779
2013,5,1,3,5,shrub,1,17.344,46.79
2013,5,1,4,5,shrub,1,16.558,48.249
2013,5,1,5,5,shrub,1,15.485,49.495
2013,5,1,6,5,shrub,1,16.368,26.886
2013,5,1,7,5,shrub,1,19.222,14.59
2013,5,1,8,5,shrub,1,23.376,11.379
2013,5,1,9,5,shrub,1,27.751,9.781
2013,5,1,10,5,shrub,1,33.652,9.139
2013,5,1,11,5,shrub,1,37.425,7.922
2013,5,1,12,5,shrub,1,42.119,7.353
2013,5,1,13,5,shrub,1,42.654,7.692
2013,5,1,14,5,shrub,1,40.057,7.367
2013,5,1,15,5,shrub,1,38.365,7.793
2013,5,1,16,5,shrub,1,35.85,7.79
2013,5,1,17,5,shrub,1,33.261,8.021
2013,5,1,18,5,shrub,1,29.54,8.366
2013,5,1,19,5,shrub,1,25.914,9.016
2013,5,1,20,5,shrub,1,22.585,10.544
2013,5,1,21,5,shrub,1,18.723,12.242
2013,5,1,22,5,shrub,1,19.508,13.93
2013,5,1,23,5,shrub,1,18.628,14.337
2013,5,2,0,6,shrub,1,17.463,14.802
2013,5,2,1,6,shrub,1,16.225,15.259
2013,5,2,2,6,shrub,1,15.39,15.512
2013,5,2,3,6,shrub,1,14.745,15.774
2013,5,2,4,6,shrub,1,14.337,15.311
2013,5,2,5,6,shrub,1,13.618,16.228
2013,5,2,6,6,shrub,1,13.016,16.708
2013,5,2,7,6,shrub,1,15.533,15.52
2013,5,2,8,6,shrub,1,20.269,12.763
2013,5,2,9,6,shrub,1,24.726,11.893
2013,5,2,10,6,shrub,1,29.615,11.327
2013,5,2,11,6,shrub,1,35.182,9.431
2013,5,2,12,6,shrub,1,42.475,8.009
2013,5,2,13,6,shrub,1,41.883,8.231
2013,5,2,14,6,shrub,1,39.036,7.976
2013,5,2,15,6,shrub,1,36.661,8.215
2013,5,2,16,6,shrub,1,34.783,8.785
2013,5,2,17,6,shrub,1,32.278,9.168
2013,5,2,18,6,shrub,1,29.215,9.992
2013,5,2,19,6,shrub,1,25.623,11.548
2013,5,2,20,6,shrub,1,22.082,13.07
2013,5,2,21,6,shrub,1,19.746,14.466
2013,5,2,22,6,shrub,1,16.392,16.006
2013,5,2,23,6,shrub,1,14.84,16.953
2013,4,27,9,1,shrub,2,37.425,18.943
2013,4,27,10,1,shrub,2,44.104,15.405
2013,4,27,11,1,shrub,2,50.508,11.895
2013,4,27,12,1,shrub,2,51.667,11.252
2013,4,27,13,1,shrub,2,46.385,10.725
2013,4,27,14,1,shrub,2,43.829,9.745
2013,4,27,15,1,shrub,2,42.386,9.533
2013,4,27,16,1,shrub,2,39.8,9.917
2013,4,27,17,1,shrub,2,35.208,10.77
2013,4,27,18,1,shrub,2,32.355,11.633
2013,4,27,19,1,shrub,2,28.617,13.288
2013,4,27,20,1,shrub,2,24.05,15.352
2013,4,27,21,1,shrub,2,21.628,17.394
2013,4,27,22,1,shrub,2,20.674,17.713
